review_text,sentiment
"Bhai dil se bolun. service fast thi, packaging neat thi, staff bohot cooperative tha. dobara zaroor aaunga. Thanks for reading yaar.",positive
"Kuch khaas nahi, kuch bura bhi nahi. menu variety theek thi. 3.5/5 type feel.",neutral
"Lahore mein itna acha, service fast thi, food fresh aur tasty tha. friends ko recommend karunga.",positive
"Lahore se likh raha hoon — Full paisa vasool. family ke sath perfect tha, music aur lighting balanced thi, family ke sath perfect tha. value for money hai bilkul. Hope helpful ho.",positive
"Hi bhai, Full paisa vasool! delivery time bhi reasonable tha. dil se thank you team.",positive
"Dil khush ho gaya. packaging neat thi, hygiene top notch thi, service fast thi. next weekend phir plan banega.",positive
"So basically Mast experience tha. delivery time bhi reasonable tha, food fresh aur tasty tha, family ke sath perfect tha. Lahore mein best lagta hai. Thanks for reading yaar.",positive
Dekh lo agar pasand ho to. service kabhi fast kabhi slow. neither wow nor uff. That's my honest take.,neutral
"Theek tha overall! taste expected jaisa hi tha, taste expected jaisa hi tha, menu variety theek thi. expectation medium rakho.",neutral
"Full paisa vasool, delivery time bhi reasonable tha, hygiene top notch thi. dobara zaroor aaunga. Bas itna hi.",positive
"Neutral hi bolunga! noise level manageable tha, price thora high lag raha tha, parking thori mushkil thi. expectation medium rakho. Hope helpful ho.",neutral
"Average sa experience tha! taste expected jaisa hi tha, location convenient thi, price thora high lag raha tha. neither wow nor uff.",neutral
"Yaar honestly. service fast thi, family ke sath perfect tha, family ke sath perfect tha. dobara zaroor aaunga.",positive
"Assalamualaikum, Standard expectation ke around tha. service kabhi fast kabhi slow. 3.5/5 type feel.",neutral
"Itna acha bura dono nahi, taste expected jaisa hi tha, parking thori mushkil thi. bas chal jata hai.",neutral
"Kuch khaas nahi, kuch bura bhi nahi. taste expected jaisa hi tha. expectation medium rakho.",neutral
"Hi bhai, Paisa zaya hogaya. noise level unbearable tha, taste flat tha, masala missing, billing mein extra charges add kiye. paise barbad mat karna. Hope helpful ho.",negative
Okay okay type tha. service kabhi fast kabhi slow. expectation medium rakho. Allah Hafiz.,neutral
"Itna ganda kabhi nahi dekha. ambience dull aur congested thi, billing mein extra charges add kiye, wait time bohot zyada tha. recommend nahi karunga kisi ko.",negative
"Bekar experience raha. packaging leak hogayi thi, portion chota tha price ke hisaab se, ambience dull aur congested thi. paise barbad mat karna.",negative
"Itna acha bura dono nahi, parking thori mushkil thi, service kabhi fast kabhi slow. try kar sakte ho agar nearby ho.",neutral
"Hi bhai, Seriously pathetic! taste flat tha, masala missing. paise barbad mat karna.",negative
"Itna ganda kabhi nahi dekha. ambience dull aur congested thi, noise level unbearable tha, ambience dull aur congested thi. paise barbad mat karna. Hope helpful ho.",negative
"Assalamualaikum, Mixed feelings hain. noise level manageable tha. neither wow nor uff. That's my honest take.",neutral
"Bekar experience raha. ambience dull aur congested thi, portion chota tha price ke hisaab se, noise level unbearable tha. bekar hi bekar.",negative
"Standard expectation ke around tha! taste expected jaisa hi tha, price thora high lag raha tha, service kabhi fast kabhi slow. maybe dobara sochunga. Hope helpful ho.",neutral
Normal restaurant vibes. portion size normal tha. 3.5/5 type feel.,neutral
"Dil khush ho gaya. family ke sath perfect tha, family ke sath perfect tha, service fast thi. friends ko recommend karunga.",positive
"Time waste pura. billing mein extra charges add kiye, packaging leak hogayi thi, billing mein extra charges add kiye. sorry but sach hai.",negative
"Staff rude tha bilkul. wait time bohot zyada tha, taste flat tha, masala missing, packaging leak hogayi thi. paise barbad mat karna. Bas itna hi.",negative
"Itna pyara. music aur lighting balanced thi, music aur lighting balanced thi, service fast thi. maza aa gaya sach mein.",positive
"Dil khush ho gaya. delivery time bhi reasonable tha, music aur lighting balanced thi, music aur lighting balanced thi. value for money hai bilkul.",positive
"Normal restaurant vibes! price thora high lag raha tha, parking thori mushkil thi, portion size normal tha. expectation medium rakho. Bas itna hi.",neutral
"Okay okay type tha! location convenient thi, taste expected jaisa hi tha, parking thori mushkil thi. expectation medium rakho.",neutral
"Hi bhai, Quality neeche gir gayi, portion chota tha price ke hisaab se, noise level unbearable tha. dobara kabhi nahi. Hope helpful ho.",negative
Normal restaurant vibes. service kabhi fast kabhi slow. 3.5/5 type feel.,neutral
Hype se zyada kuch nahi tha! staff argue karne lag gaye. bekar hi bekar. Hope helpful ho.,negative
"Bekar experience raha. order late aya aur thanda tha, hygiene questionable thi, packaging leak hogayi thi. Lahore mein aur options dekh lo.",negative
"Expectations bilkul crush hogayeen, wait time bohot zyada tha, staff argue karne lag gaye. bekar hi bekar.",negative
"Standard expectation ke around tha, parking thori mushkil thi, ambience simple thi. try kar sakte ho agar nearby ho. That's my honest take.",neutral
Expectations bilkul crush hogayeen! ambience dull aur congested thi. Lahore mein aur options dekh lo.,negative
Theek tha overall. location convenient thi. bas chal jata hai.,neutral
So basically Lahore mein itna acha! packaging neat thi. Lahore mein best lagta hai.,positive
"Quick review: Dekh lo agar pasand ho to! ambience simple thi, service kabhi fast kabhi slow, taste expected jaisa hi tha. neither wow nor uff. Thanks for reading yaar.",neutral
"Quality neeche gir gayi. order late aya aur thanda tha, ambience dull aur congested thi, packaging leak hogayi thi. recommend nahi karunga kisi ko. Thanks for reading yaar.",negative
"Itna acha bura dono nahi, menu variety theek thi, noise level manageable tha. expectation medium rakho.",neutral
"Assalamualaikum, Itna acha bura dono nahi! noise level manageable tha, portion size normal tha, menu variety theek thi. expectation medium rakho.",neutral
"Assalamualaikum, Dil khush ho gaya, family ke sath perfect tha, hygiene top notch thi. value for money hai bilkul. Allah Hafiz.",positive
"Zabardast vibe, music aur lighting balanced thi, hygiene top notch thi. friends ko recommend karunga. Allah Hafiz.",positive
"Dil khush ho gaya. portion size bhi theek tha, packaging neat thi, hygiene top notch thi. maza aa gaya sach mein. Bas itna hi.",positive
"Full paisa vasool, portion size bhi theek tha, delivery time bhi reasonable tha. value for money hai bilkul.",positive
So basically Love ho gaya! packaging neat thi. value for money hai bilkul. Bas itna hi.,positive
"Hi bhai, Lahore mein itna acha, staff bohot cooperative tha, family ke sath perfect tha. maza aa gaya sach mein.",positive
Quality neeche gir gayi! hygiene questionable thi. paise barbad mat karna.,negative
"Okay okay type tha! parking thori mushkil thi, taste expected jaisa hi tha, noise level manageable tha. bas chal jata hai.",neutral
"Mixed feelings hain, location convenient thi, menu variety theek thi. maybe dobara sochunga.",neutral
Bhai dil se bolun! portion size bhi theek tha. friends ko recommend karunga.,positive
"Time waste pura. ambience dull aur congested thi, packaging leak hogayi thi, wait time bohot zyada tha. bekar hi bekar.",negative
Bhai dil se bolun! ambience on point thi. friends ko recommend karunga.,positive
"Assalamualaikum, Zabardast vibe. service fast thi, service fast thi, ambience on point thi. full 10/10 vibes.",positive
"Bekar experience raha. wait time bohot zyada tha, order late aya aur thanda tha, staff argue karne lag gaye. dobara kabhi nahi.",negative
"Hi bhai, Expectations bilkul crush hogayeen, packaging leak hogayi thi, taste flat tha, masala missing. dobara kabhi nahi. That's my honest take.",negative
"Love ho gaya. hygiene top notch thi, ambience on point thi, service fast thi. value for money hai bilkul. Thanks for reading yaar.",positive
"Okay okay type tha! portion size normal tha, price thora high lag raha tha, taste expected jaisa hi tha. bas chal jata hai.",neutral
"So basically Zabardast vibe. service fast thi, hygiene top notch thi, packaging neat thi. full 10/10 vibes.",positive
Lahore se likh raha hoon — Itna acha bura dono nahi. location convenient thi. neither wow nor uff.,neutral
"Quick review: Hype se zyada kuch nahi tha. order late aya aur thanda tha, billing mein extra charges add kiye, order late aya aur thanda tha. Lahore mein aur options dekh lo.",negative
"Assalamualaikum, Standard expectation ke around tha. ambience simple thi. bas chal jata hai.",neutral
"Normal restaurant vibes, parking thori mushkil thi, service kabhi fast kabhi slow. expectation medium rakho.",neutral
Dil khush ho gaya! family ke sath perfect tha. value for money hai bilkul. Bas itna hi.,positive
"Bhai disappointment hi disappointment, billing mein extra charges add kiye, billing mein extra charges add kiye. sorry but sach hai.",negative
"Bhai dil se bolun. family ke sath perfect tha, delivery time bhi reasonable tha, staff bohot cooperative tha. maza aa gaya sach mein. Hope helpful ho.",positive
"Lahore se likh raha hoon — Time waste pura, wait time bohot zyada tha, noise level unbearable tha. 1/10 bas.",negative
Lahore mein itna acha! staff bohot cooperative tha. dil se thank you team. That's my honest take.,positive
"Assalamualaikum, Zabardast vibe. food fresh aur tasty tha, music aur lighting balanced thi, hygiene top notch thi. value for money hai bilkul.",positive
"Assalamualaikum, Okay okay type tha! taste expected jaisa hi tha, food average tha, edible tha, parking thori mushkil thi. bas chal jata hai.",neutral
"Mast experience tha. music aur lighting balanced thi, music aur lighting balanced thi, packaging neat thi. dobara zaroor aaunga. Thanks for reading yaar.",positive
"So basically Hype se zyada kuch nahi tha. wait time bohot zyada tha, staff argue karne lag gaye, wait time bohot zyada tha. 1/10 bas.",negative
"Bhai dil se bolun. hygiene top notch thi, portion size bhi theek tha, service fast thi. maza aa gaya sach mein. Bas itna hi.",positive
Full paisa vasool! staff bohot cooperative tha. dil se thank you team.,positive
"Hi bhai, Standard expectation ke around tha. service kabhi fast kabhi slow. 3.5/5 type feel.",neutral
"So basically Average sa experience tha, location convenient thi, location convenient thi. 3.5/5 type feel.",neutral
Theek tha overall. taste expected jaisa hi tha. 3.5/5 type feel. Bas itna hi.,neutral
"Assalamualaikum, Mast experience tha. ambience on point thi, food fresh aur tasty tha, music aur lighting balanced thi. dobara zaroor aaunga.",positive
"Assalamualaikum, Standard expectation ke around tha! menu variety theek thi, portion size normal tha, food average tha, edible tha. neither wow nor uff.",neutral
"Seriously pathetic. ambience dull aur congested thi, billing mein extra charges add kiye, staff argue karne lag gaye. 1/10 bas.",negative
"Love ho gaya. packaging neat thi, food fresh aur tasty tha, food fresh aur tasty tha. dil se thank you team.",positive
"Bhai disappointment hi disappointment. noise level unbearable tha, hygiene questionable thi, packaging leak hogayi thi. 1/10 bas.",negative
Mast experience tha! music aur lighting balanced thi. Lahore mein best lagta hai. That's my honest take.,positive
"Time waste pura. portion chota tha price ke hisaab se, wait time bohot zyada tha, staff argue karne lag gaye. Lahore mein aur options dekh lo.",negative
"Lahore se likh raha hoon — Lahore mein itna acha. service fast thi, delivery time bhi reasonable tha, portion size bhi theek tha. next weekend phir plan banega.",positive
"Itna pyara. ambience on point thi, packaging neat thi, food fresh aur tasty tha. next weekend phir plan banega.",positive
"Bekar experience raha. wait time bohot zyada tha, staff argue karne lag gaye, noise level unbearable tha. Lahore mein aur options dekh lo. Thanks for reading yaar.",negative
"Lahore mein itna acha. portion size bhi theek tha, ambience on point thi, food fresh aur tasty tha. value for money hai bilkul.",positive
"Quick review: Bhai disappointment hi disappointment. noise level unbearable tha, hygiene questionable thi, packaging leak hogayi thi. paise barbad mat karna.",negative
"Neutral hi bolunga! parking thori mushkil thi, food average tha, edible tha, service kabhi fast kabhi slow. maybe dobara sochunga.",neutral
"Okay okay type tha! noise level manageable tha, food average tha, edible tha, food average tha, edible tha. 3.5/5 type feel.",neutral
"Hi bhai, Bhai dil se bolun! portion size bhi theek tha. Lahore mein best lagta hai.",positive
"Neutral hi bolunga! service kabhi fast kabhi slow, food average tha, edible tha, service kabhi fast kabhi slow. neither wow nor uff. Hope helpful ho.",neutral
"Lahore se likh raha hoon — Time waste pura. portion chota tha price ke hisaab se, hygiene questionable thi, noise level unbearable tha. bekar hi bekar.",negative
So basically Staff rude tha bilkul! packaging leak hogayi thi. 1/10 bas.,negative
"Lahore se likh raha hoon — Itna ganda kabhi nahi dekha. wait time bohot zyada tha, packaging leak hogayi thi, portion chota tha price ke hisaab se. recommend nahi karunga kisi ko.",negative
"Seriously pathetic, packaging leak hogayi thi, packaging leak hogayi thi. 1/10 bas.",negative
Quick review: Theek tha overall. service kabhi fast kabhi slow. expectation medium rakho.,neutral
"Full paisa vasool, portion size bhi theek tha, music aur lighting balanced thi. maza aa gaya sach mein. Allah Hafiz.",positive
"Lahore se likh raha hoon — Bekar experience raha, taste flat tha, masala missing, ambience dull aur congested thi. 1/10 bas.",negative
"Standard expectation ke around tha, menu variety theek thi, food average tha, edible tha. neither wow nor uff. Hope helpful ho.",neutral
"Bhai disappointment hi disappointment. wait time bohot zyada tha, wait time bohot zyada tha, wait time bohot zyada tha. sorry but sach hai.",negative
Itna pyara! ambience on point thi. full 10/10 vibes.,positive
"Mixed feelings hain! portion size normal tha, price thora high lag raha tha, ambience simple thi. bas chal jata hai.",neutral
"Hi bhai, Quality neeche gir gayi! portion chota tha price ke hisaab se. Lahore mein aur options dekh lo.",negative
"Paisa zaya hogaya. portion chota tha price ke hisaab se, wait time bohot zyada tha, staff argue karne lag gaye. bekar hi bekar.",negative
"Seriously pathetic, billing mein extra charges add kiye, billing mein extra charges add kiye. Lahore mein aur options dekh lo. Bas itna hi.",negative
"Yaar honestly. ambience on point thi, portion size bhi theek tha, portion size bhi theek tha. Lahore mein best lagta hai. Thanks for reading yaar.",positive
"Hi bhai, Bhai dil se bolun. food fresh aur tasty tha, delivery time bhi reasonable tha, ambience on point thi. next weekend phir plan banega.",positive
Dil khush ho gaya! family ke sath perfect tha. full 10/10 vibes. Hope helpful ho.,positive
"Assalamualaikum, Bhai dil se bolun. staff bohot cooperative tha, packaging neat thi, service fast thi. full 10/10 vibes.",positive
"Neutral hi bolunga! noise level manageable tha, price thora high lag raha tha, ambience simple thi. try kar sakte ho agar nearby ho. Bas itna hi.",neutral
"Standard expectation ke around tha! price thora high lag raha tha, service kabhi fast kabhi slow, portion size normal tha. expectation medium rakho. Bas itna hi.",neutral
"Lahore se likh raha hoon — Time waste pura. staff argue karne lag gaye, hygiene questionable thi, staff argue karne lag gaye. 1/10 bas.",negative
"Time waste pura, billing mein extra charges add kiye, wait time bohot zyada tha. Lahore mein aur options dekh lo. Thanks for reading yaar.",negative
"Seriously pathetic. billing mein extra charges add kiye, billing mein extra charges add kiye, packaging leak hogayi thi. 1/10 bas. Bas itna hi.",negative
"Hi bhai, Theek tha overall! price thora high lag raha tha, taste expected jaisa hi tha, ambience simple thi. neither wow nor uff.",neutral
"Assalamualaikum, Mast experience tha, family ke sath perfect tha, music aur lighting balanced thi. value for money hai bilkul.",positive
Dekh lo agar pasand ho to. taste expected jaisa hi tha. neither wow nor uff.,neutral
"Normal restaurant vibes, menu variety theek thi, taste expected jaisa hi tha. bas chal jata hai.",neutral
"Quick review: Kuch khaas nahi, kuch bura bhi nahi! noise level manageable tha, noise level manageable tha, service kabhi fast kabhi slow. maybe dobara sochunga.",neutral
"Love ho gaya, service fast thi, family ke sath perfect tha. maza aa gaya sach mein.",positive
"Quick review: Love ho gaya. delivery time bhi reasonable tha, packaging neat thi, service fast thi. maza aa gaya sach mein.",positive
Dil khush ho gaya! delivery time bhi reasonable tha. full 10/10 vibes.,positive
"Hi bhai, Paisa zaya hogaya. ambience dull aur congested thi, order late aya aur thanda tha, taste flat tha, masala missing. dobara kabhi nahi. That's my honest take.",negative
"Assalamualaikum, Bhai disappointment hi disappointment, hygiene questionable thi, ambience dull aur congested thi. sorry but sach hai.",negative
"Assalamualaikum, Love ho gaya. ambience on point thi, staff bohot cooperative tha, ambience on point thi. maza aa gaya sach mein. Hope helpful ho.",positive
"Lahore se likh raha hoon — Zabardast vibe. staff bohot cooperative tha, staff bohot cooperative tha, delivery time bhi reasonable tha. value for money hai bilkul.",positive
"Full paisa vasool. staff bohot cooperative tha, music aur lighting balanced thi, hygiene top notch thi. full 10/10 vibes.",positive
"Itna ganda kabhi nahi dekha, billing mein extra charges add kiye, portion chota tha price ke hisaab se. dobara kabhi nahi.",negative
"Love ho gaya. family ke sath perfect tha, hygiene top notch thi, music aur lighting balanced thi. dobara zaroor aaunga. Hope helpful ho.",positive
"Expectations bilkul crush hogayeen. hygiene questionable thi, taste flat tha, masala missing, ambience dull aur congested thi. Lahore mein aur options dekh lo.",negative
"Mixed feelings hain! menu variety theek thi, price thora high lag raha tha, service kabhi fast kabhi slow. 3.5/5 type feel.",neutral
"Expectations bilkul crush hogayeen, billing mein extra charges add kiye, ambience dull aur congested thi. 1/10 bas.",negative
"Bhai dil se bolun. hygiene top notch thi, packaging neat thi, family ke sath perfect tha. value for money hai bilkul.",positive
"Lahore se likh raha hoon — Hype se zyada kuch nahi tha. staff argue karne lag gaye, order late aya aur thanda tha, noise level unbearable tha. dobara kabhi nahi.",negative
"Bhai dil se bolun, staff bohot cooperative tha, packaging neat thi. next weekend phir plan banega.",positive
"Bhai disappointment hi disappointment. portion chota tha price ke hisaab se, wait time bohot zyada tha, ambience dull aur congested thi. recommend nahi karunga kisi ko.",negative
"Paisa zaya hogaya. hygiene questionable thi, wait time bohot zyada tha, staff argue karne lag gaye. recommend nahi karunga kisi ko.",negative
"Dekh lo agar pasand ho to! ambience simple thi, parking thori mushkil thi, location convenient thi. expectation medium rakho.",neutral
"Okay okay type tha! food average tha, edible tha, menu variety theek thi, parking thori mushkil thi. neither wow nor uff.",neutral
Average sa experience tha. noise level manageable tha. maybe dobara sochunga.,neutral
"Hi bhai, Hype se zyada kuch nahi tha, packaging leak hogayi thi, taste flat tha, masala missing. 1/10 bas.",negative
"Lahore se likh raha hoon — Paisa zaya hogaya, ambience dull aur congested thi, ambience dull aur congested thi. dobara kabhi nahi. Bas itna hi.",negative
"Zabardast vibe. food fresh aur tasty tha, ambience on point thi, staff bohot cooperative tha. full 10/10 vibes.",positive
"Standard expectation ke around tha! location convenient thi, price thora high lag raha tha, portion size normal tha. maybe dobara sochunga.",neutral
"Itna acha bura dono nahi, menu variety theek thi, location convenient thi. neither wow nor uff.",neutral
"Lahore se likh raha hoon — Quality neeche gir gayi. staff argue karne lag gaye, billing mein extra charges add kiye, billing mein extra charges add kiye. sorry but sach hai.",negative
Time waste pura! order late aya aur thanda tha. sorry but sach hai.,negative
"Quick review: Time waste pura. portion chota tha price ke hisaab se, order late aya aur thanda tha, ambience dull aur congested thi. paise barbad mat karna.",negative
"Hi bhai, Time waste pura. wait time bohot zyada tha, portion chota tha price ke hisaab se, order late aya aur thanda tha. paise barbad mat karna.",negative
"Lahore mein itna acha. service fast thi, portion size bhi theek tha, ambience on point thi. maza aa gaya sach mein.",positive
"Itna ganda kabhi nahi dekha. noise level unbearable tha, staff argue karne lag gaye, order late aya aur thanda tha. recommend nahi karunga kisi ko.",negative
"Staff rude tha bilkul. order late aya aur thanda tha, noise level unbearable tha, hygiene questionable thi. paise barbad mat karna.",negative
"Seriously impressed. staff bohot cooperative tha, hygiene top notch thi, service fast thi. maza aa gaya sach mein. Hope helpful ho.",positive
"Hype se zyada kuch nahi tha, staff argue karne lag gaye, wait time bohot zyada tha. 1/10 bas. Thanks for reading yaar.",negative
Standard expectation ke around tha. noise level manageable tha. expectation medium rakho.,neutral
"Quick review: Standard expectation ke around tha! taste expected jaisa hi tha, noise level manageable tha, noise level manageable tha. neither wow nor uff.",neutral
"Quick review: Love ho gaya, staff bohot cooperative tha, food fresh aur tasty tha. maza aa gaya sach mein. Thanks for reading yaar.",positive
So basically Itna pyara! delivery time bhi reasonable tha. maza aa gaya sach mein.,positive
"Quick review: Full paisa vasool. food fresh aur tasty tha, staff bohot cooperative tha, music aur lighting balanced thi. value for money hai bilkul.",positive
Dekh lo agar pasand ho to. service kabhi fast kabhi slow. bas chal jata hai. Hope helpful ho.,neutral
"Lahore mein itna acha, packaging neat thi, delivery time bhi reasonable tha. dil se thank you team.",positive
"Lahore mein itna acha. food fresh aur tasty tha, portion size bhi theek tha, music aur lighting balanced thi. dil se thank you team.",positive
Bhai dil se bolun! staff bohot cooperative tha. full 10/10 vibes.,positive
"Average sa experience tha, service kabhi fast kabhi slow, parking thori mushkil thi. expectation medium rakho.",neutral
Itna ganda kabhi nahi dekha! billing mein extra charges add kiye. Lahore mein aur options dekh lo.,negative
Lahore se likh raha hoon — Expectations bilkul crush hogayeen! order late aya aur thanda tha. recommend nahi karunga kisi ko.,negative
"Neutral hi bolunga! location convenient thi, location convenient thi, location convenient thi. neither wow nor uff.",neutral
"Hi bhai, Quality neeche gir gayi. packaging leak hogayi thi, hygiene questionable thi, taste flat tha, masala missing. Lahore mein aur options dekh lo. Bas itna hi.",negative
"Paisa zaya hogaya. billing mein extra charges add kiye, portion chota tha price ke hisaab se, noise level unbearable tha. bekar hi bekar.",negative
Seriously impressed! family ke sath perfect tha. full 10/10 vibes. Hope helpful ho.,positive
"Standard expectation ke around tha! price thora high lag raha tha, noise level manageable tha, ambience simple thi. 3.5/5 type feel. That's my honest take.",neutral
"Mixed feelings hain! price thora high lag raha tha, noise level manageable tha, taste expected jaisa hi tha. 3.5/5 type feel. Bas itna hi.",neutral
Zabardast vibe! staff bohot cooperative tha. value for money hai bilkul.,positive
Lahore se likh raha hoon — Bhai dil se bolun! portion size bhi theek tha. value for money hai bilkul. Bas itna hi.,positive
"Expectations bilkul crush hogayeen. hygiene questionable thi, staff argue karne lag gaye, portion chota tha price ke hisaab se. dobara kabhi nahi.",negative
"Assalamualaikum, Normal restaurant vibes! menu variety theek thi, location convenient thi, taste expected jaisa hi tha. bas chal jata hai.",neutral
"Dil khush ho gaya. service fast thi, food fresh aur tasty tha, music aur lighting balanced thi. next weekend phir plan banega. Bas itna hi.",positive
"Hi bhai, Time waste pura. billing mein extra charges add kiye, ambience dull aur congested thi, noise level unbearable tha. recommend nahi karunga kisi ko. Allah Hafiz.",negative
"Hi bhai, Paisa zaya hogaya. staff argue karne lag gaye, wait time bohot zyada tha, billing mein extra charges add kiye. 1/10 bas.",negative
"Expectations bilkul crush hogayeen. billing mein extra charges add kiye, taste flat tha, masala missing, portion chota tha price ke hisaab se. Lahore mein aur options dekh lo. Allah Hafiz.",negative
Lahore se likh raha hoon — Bekar experience raha! ambience dull aur congested thi. recommend nahi karunga kisi ko.,negative
"Kuch khaas nahi, kuch bura bhi nahi! food average tha, edible tha, taste expected jaisa hi tha, ambience simple thi. expectation medium rakho. Bas itna hi.",neutral
Lahore se likh raha hoon — Average sa experience tha. portion size normal tha. maybe dobara sochunga.,neutral
Time waste pura! packaging leak hogayi thi. 1/10 bas.,negative
"So basically Full paisa vasool, delivery time bhi reasonable tha, family ke sath perfect tha. Lahore mein best lagta hai. That's my honest take.",positive
"Seriously pathetic. packaging leak hogayi thi, noise level unbearable tha, wait time bohot zyada tha. recommend nahi karunga kisi ko. Hope helpful ho.",negative
"Lahore se likh raha hoon — Zabardast vibe. delivery time bhi reasonable tha, music aur lighting balanced thi, ambience on point thi. full 10/10 vibes.",positive
"Quick review: Seriously pathetic, wait time bohot zyada tha, hygiene questionable thi. dobara kabhi nahi. Allah Hafiz.",negative
"Full paisa vasool, family ke sath perfect tha, family ke sath perfect tha. maza aa gaya sach mein.",positive
"Assalamualaikum, Seriously impressed. hygiene top notch thi, service fast thi, hygiene top notch thi. full 10/10 vibes.",positive
"Seriously impressed. staff bohot cooperative tha, service fast thi, portion size bhi theek tha. next weekend phir plan banega.",positive
"Lahore se likh raha hoon — Mixed feelings hain, parking thori mushkil thi, location convenient thi. expectation medium rakho.",neutral
"Assalamualaikum, Quality neeche gir gayi. noise level unbearable tha, billing mein extra charges add kiye, ambience dull aur congested thi. Lahore mein aur options dekh lo.",negative
"Bhai dil se bolun. hygiene top notch thi, hygiene top notch thi, food fresh aur tasty tha. next weekend phir plan banega.",positive
"Seriously pathetic. wait time bohot zyada tha, staff argue karne lag gaye, taste flat tha, masala missing. recommend nahi karunga kisi ko.",negative
"Itna acha bura dono nahi! menu variety theek thi, price thora high lag raha tha, noise level manageable tha. bas chal jata hai.",neutral
"Seriously impressed, music aur lighting balanced thi, delivery time bhi reasonable tha. value for money hai bilkul.",positive
Mixed feelings hain. price thora high lag raha tha. expectation medium rakho.,neutral
"So basically Seriously impressed. delivery time bhi reasonable tha, staff bohot cooperative tha, food fresh aur tasty tha. value for money hai bilkul.",positive
"Bhai disappointment hi disappointment, ambience dull aur congested thi, noise level unbearable tha. recommend nahi karunga kisi ko. Thanks for reading yaar.",negative
"Staff rude tha bilkul. staff argue karne lag gaye, packaging leak hogayi thi, billing mein extra charges add kiye. dobara kabhi nahi.",negative
"Assalamualaikum, Okay okay type tha! portion size normal tha, location convenient thi, portion size normal tha. 3.5/5 type feel.",neutral
"Average sa experience tha! noise level manageable tha, noise level manageable tha, parking thori mushkil thi. 3.5/5 type feel.",neutral
"Theek tha overall, location convenient thi, service kabhi fast kabhi slow. neither wow nor uff.",neutral
"Yaar honestly. delivery time bhi reasonable tha, family ke sath perfect tha, ambience on point thi. friends ko recommend karunga.",positive
"Normal restaurant vibes! ambience simple thi, ambience simple thi, service kabhi fast kabhi slow. maybe dobara sochunga.",neutral
Quick review: Standard expectation ke around tha. service kabhi fast kabhi slow. try kar sakte ho agar nearby ho. Thanks for reading yaar.,neutral
"Quick review: Dekh lo agar pasand ho to, taste expected jaisa hi tha, ambience simple thi. maybe dobara sochunga.",neutral
"Staff rude tha bilkul! taste flat tha, masala missing. 1/10 bas. That's my honest take.",negative
"Mixed feelings hain! parking thori mushkil thi, service kabhi fast kabhi slow, parking thori mushkil thi. 3.5/5 type feel.",neutral
"Zabardast vibe. music aur lighting balanced thi, music aur lighting balanced thi, service fast thi. maza aa gaya sach mein.",positive
"Assalamualaikum, Itna pyara! ambience on point thi. dobara zaroor aaunga.",positive
